Row,u,h_1_u_1,h_2_u_2,h_3_u_3,h_4_u_4
h_2_u_2,0,0,-1,0,0
C_1_u_i_-2,-0.0833333333333338,0.166666666666668,-0.166666666666668,0.111111111111112,-0.0555555555555559
C_2_u_i_-1,1.33333333333333,-1.33333333333333,0.666666666666667,-0.222222222222222,0.0555555555555556
C_3_u_i_0,-2.5,-0,-0,-0,-0
C_4_u_i_1,1.33333333333333,1.33333333333333,0.666666666666667,0.222222222222222,0.0555555555555556
C_5_u_i_2,-0.0833333333333335,-0.166666666666667,-0.166666666666667,-0.111111111111111,-0.0555555555555557
